,Adalaj Stepwell,Agra Fort,Ajanta Caves,Akbar Tomb Sikandra,Bibi Ka Maqbara,Chand Baori,Charar-E- Sharif,Chhota_Imambara,Ellora Caves,Fatehpur Sikri,Gateway of India,Hawa mahal,Humayun_s Tomb,India_gate,Itmad-ud-Daulah,Jama Masjid Delhi,Khajuraho,Lotus Mahal Hampi,Rani ki Vav,Red Fort Delhi,Safdarjung Tomb,Sun Temple Konark,Virupaksha Temple Hampi,Vittala Temple Hampi,alai_darwaza,alai_minar,basilica_of_bom_jesus,charminar,golden temple,iron_pillar,jamali_kamali_tomb,lotus_temple,mysore_palace,qutub_minar,tajmahal,tanjavur temple,victoria memorial
Adalaj Stepwell,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Agra Fort,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajanta Caves,0,0,26,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Akbar Tomb Sikandra,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Bibi Ka Maqbara,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,3,0,0
Chand Baori,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charar-E- Sharif,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhota_Imambara,0,0,0,2,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
Ellora Caves,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatehpur Sikri,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Gateway of India,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawa mahal,0,0,0,0,0,0,0,0,0,0,1,75,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Humayun_s Tomb,0,0,0,3,0,0,0,0,0,0,0,0,17,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India_gate,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itmad-ud-Daulah,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jama Masjid Delhi,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Khajuraho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Lotus Mahal Hampi,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Rani ki Vav,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Fort Delhi,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Safdarjung Tomb,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sun Temple Konark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Virupaksha Temple Hampi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,2,0,0,0,0,0,1,0
Vittala Temple Hampi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0
alai_darwaza,0,0,0,15,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,0,10,1,0,0,0,0,2,0,0,0,0,0,0
alai_minar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0,3,0,0,0
basilica_of_bom_jesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0
charminar,0,1,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0,1,0,0,0
golden temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
iron_pillar,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,54,0,0,0,13,0,1,0
jamali_kamali_tomb,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,3,9,0,0,0,0,0,17,0,0,0,0,0,0
lotus_temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
mysore_palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
qutub_minar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66,0,0,0
tajmahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
tanjavur temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,5,0,1,0,0,0,0,0,0,0,0,0,23,0
victoria memorial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
